Group,Area_of_Study,Age,Frequency,Mental_Model,Accuracy_Rating,Correct_Facts,Hallucinations_Caught,Total_Time,Strategy,Qualitative_Feedback
A,Computer Science/Engineering,18-24,Daily,B,3,7,6,18.5,Plausibility Checking,"I found it hard to tell if the AI was lying because it was so confident."
B,Computer Science/Engineering,18-24,Daily,B,3,9,9,14.0,Supervisor Warning,"The red badge actually made me stop my auto-pilot and re-read critically."
A,Natural Sciences,25-34,Weekly,A,4,6,5,19.2,Intuition,"The answers sounded smart so I mostly published them."
B,Natural Sciences,25-34,Weekly,B,4,8,8,13.8,Supervisor Warning,"Knowing the system checked the green labels meant I didn't waste energy."
A,Humanities/Arts,18-24,Rarely,D,3,7,6,17.8,Guessing,"I guessed on about half of these."
B,Humanities/Arts,18-24,Rarely,B,2,9,8,14.2,Supervisor Warning,"I heavily relied on the risk warnings."
A,Business/Economics,35-44,Weekly,B,2,6,6,18.9,Plausibility Checking,"Some of the dates felt wrong but I wasn't sure."
B,Business/Economics,35-44,Weekly,B,3,8,9,14.5,Supervisor Warning,"The color labels were the only thing I looked at."
B,Computer Science/Engineering,18-24,Daily,B,3,9,9,13.9,Supervisor Warning,"The red labels made me suspicious of the Scorsese answer."
A,Computer Science/Engineering,18-24,Daily,B,4,7,7,18.1,Plausibility Checking,"I tried to look for logical errors in the phrasing."
B,Other,25-34,Weekly,B,4,8,8,14.6,Supervisor Warning,"I felt more confident supported by the tool."
A,Other,25-34,Weekly,B,3,6,6,19.5,Intuition,"It is very difficult to distinguish between facts and lies."
B,Natural Sciences,18-24,Rarely,B,2,9,9,14.1,Supervisor Warning,"The warning badges introducted necessary cognitive friction."
A,Natural Sciences,18-24,Rarely,C,4,7,5,18.3,Guessing,"The AI is very accurate most of the time."
B,Humanities/Arts,45+,Daily,B,3,8,8,14.3,Supervisor Warning,"I trusted the tool when it said High Risk."
A,Humanities/Arts,45+,Daily,B,3,6,6,18.7,Plausibility Checking,"I relied on what I already knew about history."
B,Business/Economics,18-24,Weekly,B,3,9,9,13.7,Supervisor Warning,"I focused my energy on the hard questions with red labels."
A,Business/Economics,18-24,Weekly,A,4,7,5,17.9,Intuition,"I think I got about half of them right."
B,Computer Science/Engineering,25-34,Daily,B,4,8,8,14.4,Supervisor Warning,"The tool matched my intuition most of the time."
A,Computer Science/Engineering,25-34,Daily,B,3,6,6,18.4,Plausibility Checking,"Hard to distinguish without external tools."
B,Natural Sciences,18-24,Weekly,B,2,9,9,14.0,Supervisor Warning,"The red badge helped me catch the Sahara myth."
A,Natural Sciences,18-24,Weekly,B,3,7,6,18.6,Intuition,"The Titanic date looked wrong but I published anyway."
B,Humanities/Arts,25-34,Rarely,B,3,8,8,14.8,Supervisor Warning,"I followed the tool mostly blind."
A,Humanities/Arts,25-34,Rarely,D,4,6,5,19.0,Guessing,"I honestly guessed on most of them."
B,Business/Economics,18-24,Daily,B,3,9,8,14.2,Supervisor Warning,"The semantic consistency metric was very useful."
A,Business/Economics,18-24,Daily,B,2,7,7,18.2,Plausibility Checking,"I checked for weird phrasing."
B,Computer Science/Engineering,35-44,Weekly,B,4,8,9,13.6,Supervisor Warning,"I stopped to rethink on every red badge."
A,Computer Science/Engineering,35-44,Weekly,A,3,6,6,18.8,Intuition,"I relied on my prior knowledge for the space questions."
B,Other,18-24,Daily,B,2,9,9,14.5,Supervisor Warning,"I Published the gold fact quickly because of the green label."
A,Other,18-24,Daily,B,4,7,6,17.5,Plausibility Checking,"I caught the Sherlock Holmes error."
B,Natural Sciences,25-34,Weekly,B,3,8,8,14.1,Supervisor Warning,"The system noted high uncertainty and I agreed."
A,Natural Sciences,25-34,Weekly,C,3,6,5,18.9,Guessing,"It was neutral difficulty."
B,Humanities/Arts,18-24,Rarely,B,3,9,9,13.9,Supervisor Warning,"The UI was minimalist and clear."
A,Humanities/Arts,18-24,Rarely,B,3,7,7,18.1,Intuition,"I trusted the AI for the chemistry questions."
B,Business/Economics,25-34,Daily,B,4,8,8,14.7,Supervisor Warning,"The badges prevented me from going on auto-pilot."
A,Business/Economics,25-34,Daily,A,4,6,6,19.3,Plausibility Checking,"I tried to find inconsistencies."
B,Computer Science/Engineering,18-24,Weekly,B,2,9,9,14.0,Supervisor Warning,"I correctly rejected the Bing acquisition hallucination."
A,Computer Science/Engineering,18-24,Weekly,B,3,7,6,18.0,Guessing,"I felt neutral about my performance."
B,Other,35-44,Daily,B,3,8,8,14.4,Supervisor Warning,"The red labels made me suspicious of plausible sounding lies."
A,Other,35-44,Daily,B,3,6,6,18.3,Intuition,"AI sounded very confident even when wrong."
